id,measurementType,measurementValue,measurementID,measurementTypeID,measurementUnit,measurementUnitID
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_day5_ppm,7.6,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_day5_avg,7.35,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,bod,1.55,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P01/current/BODZZZZZ/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,transparency_depth_mean,2.5,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,http://vocab.nerc.ac.uk/collection/P01/current/SECCSDNX/,meters,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,air_temp,20,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,Celsius,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_temp,13,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,Celsius,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,weather,Partly Cloudy,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,wind_speed_knots,2,NA,NA,knots,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_surface,Ripple,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_current,None,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,tide_stage,In,NA,NA,NA,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,tide_height,0.9144,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,http://vocab.nerc.ac.uk/collection/P02/current/MBAN/,meters,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,eventRemarks,"NA|NA",NA,NA,NA,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,salinity_ppt,34,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,http://vocab.nerc.ac.uk/collection/P01/current/ASLTZZ01/,parts per thousand,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO1_ppm,9.2,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_ppm,8.9,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DOavg_ppm,9.05,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO1_day5_ppm,7.1,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_day5_ppm,7.6,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_day5_avg,7.35,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,bod,1.55,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P01/current/BODZZZZZ/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,transparency_depth_mean,2.5,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,http://vocab.nerc.ac.uk/collection/P01/current/SECCSDNX/,meters,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,air_temp,20,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,Celsius,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_temp,13,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,Celsius,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,weather,Partly Cloudy,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,wind_speed_knots,2,NA,NA,knots,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_surface,Ripple,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_current,None,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,tide_stage,In,NA,NA,NA,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,tide_height,0.9144,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,http://vocab.nerc.ac.uk/collection/P02/current/MBAN/,meters,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,eventRemarks,"NA|NA",NA,NA,NA,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,salinity_ppt,34,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,http://vocab.nerc.ac.uk/collection/P01/current/ASLTZZ01/,parts per thousand,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO1_ppm,9.2,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_ppm,8.9,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DOavg_ppm,9.05,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO1_day5_ppm,7.1,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_day5_ppm,7.6,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_day5_avg,7.35,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,bod,1.55,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P01/current/BODZZZZZ/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,transparency_depth_mean,2.5,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,http://vocab.nerc.ac.uk/collection/P01/current/SECCSDNX/,meters,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,air_temp,20,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,Celsius,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_temp,13,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,Celsius,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,weather,Partly Cloudy,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,wind_speed_knots,2,NA,NA,knots,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_surface,Ripple,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_current,None,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,tide_stage,In,NA,NA,NA,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,tide_height,0.9144,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,http://vocab.nerc.ac.uk/collection/P02/current/MBAN/,meters,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,eventRemarks,"NA|NA",NA,NA,NA,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,salinity_ppt,34,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,http://vocab.nerc.ac.uk/collection/P01/current/ASLTZZ01/,parts per thousand,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO1_ppm,9.2,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_ppm,8.9,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DOavg_ppm,9.05,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO1_day5_ppm,7.1,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_day5_ppm,7.6,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_day5_avg,7.35,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,bod,1.55,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P01/current/BODZZZZZ/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,transparency_depth_mean,2.5,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,http://vocab.nerc.ac.uk/collection/P01/current/SECCSDNX/,meters,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,air_temp,20,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,Celsius,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_temp,13,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,Celsius,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,weather,Partly Cloudy,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,wind_speed_knots,2,NA,NA,knots,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_surface,Ripple,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_current,None,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,tide_stage,In,NA,NA,NA,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,tide_height,0.9144,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,http://vocab.nerc.ac.uk/collection/P02/current/MBAN/,meters,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,eventRemarks,"NA|NA",NA,NA,NA,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,salinity_ppt,34,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,http://vocab.nerc.ac.uk/collection/P01/current/ASLTZZ01/,parts per thousand,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO1_ppm,9.2,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_ppm,8.9,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DOavg_ppm,9.05,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO1_day5_ppm,7.1,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_day5_ppm,7.6,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_day5_avg,7.35,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,bod,1.55,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P01/current/BODZZZZZ/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,transparency_depth_mean,2.5,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,http://vocab.nerc.ac.uk/collection/P01/current/SECCSDNX/,meters,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,air_temp,20,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,Celsius,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_temp,13,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,Celsius,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,weather,Partly Cloudy,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,wind_speed_knots,2,NA,NA,knots,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_surface,Ripple,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,water_current,None,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,tide_stage,In,NA,NA,NA,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,tide_height,0.9144,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,http://vocab.nerc.ac.uk/collection/P02/current/MBAN/,meters,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,eventRemarks,"NA|NA",NA,NA,NA,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,salinity_ppt,34,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,http://vocab.nerc.ac.uk/collection/P01/current/ASLTZZ01/,parts per thousand,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO1_ppm,9.2,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_ppm,8.9,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DOavg_ppm,9.05,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO1_day5_ppm,7.1,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_day5_ppm,7.6,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,DO2_day5_avg,7.35,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,bod,1.55,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P01/current/BODZZZZZ/,ppm,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,transparency_depth_mean,2.5,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,http://vocab.nerc.ac.uk/collection/P01/current/SECCSDNX/,meters,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,air_temp,29,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,Celsius,NA
